"title","abstract","authors","year","venue","article_url","pdf_url","source_used","paper_id","platform","topic","doi","url","llm_flag","ol_flag","decision_stage1","reason","source_file"
"Project-Level C-to-Rust Translation via Synergistic Integration of Knowledge Graphs and Large Language Models","Translating C code into safe Rust is an effective way to ensure its memory safety. Compared to rule-based translation which produces Rust code that remains largely unsafe, LLM-based methods can generate more idiomatic and safer Rust code because LLMs have been trained on vast amount of human-written idiomatic code. Although promising, existing LLM-based methods still struggle with project-level C-to-Rust translation. They typically partition a C project into smaller units (\\eg{} functions) based on call graphs and translate them bottom-up to resolve program dependencies. However, this bottom-up, unit-by-unit paradigm often fails to translate pointers due to the lack of a global perspective on their usage. To address this problem, we propose a novel C-Rust Pointer Knowledge Graph (KG) that enriches a code-dependency graph with two types of pointer semantics: (i) pointer-usage information which record global behaviors such as points-to flows and map lower-level struct usage to higher-level units; and (ii) Rust-oriented annotations which encode ownership, mutability, nullability, and lifetime. Synthesizing the \\kg{} with LLMs, we further propose \\ourtool{}, which implements a project-level C-to-Rust translation technique. In \\ourtool{}, the \\kg{} provides LLMs with comprehensive pointer semantics from a global perspective, thus guiding LLMs towards generating safe and idiomatic Rust code from a given C project. Our experiments show that \\ourtool{} reduces unsafe usages in translated Rust by 99.9\\% compared to both rule-based translation and traditional LLM-based rewriting, while achieving an average 29.3\\% higher functional correctness than those fuzzing-enhanced LLM methods.","Zhiqiang Yuan; Wenjun Mao; Zhuo Chen; Xiyue Shang; Chong Wang; Yiling Lou; Xin Peng","2025","arXiv","https://arxiv.org/abs/2510.10956","http://arxiv.org/pdf/2510.10956v1","arxiv:id","http://arxiv.org/abs/2510.10956v1","arXiv","OL","","http://arxiv.org/abs/2510.10956v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Scalable and Explainable Enterprise Knowledge Discovery Using Graph-Centric Hybrid Retrieval","Modern enterprises manage vast knowledge distributed across heterogeneous systems such as Jira, Git repositories, Confluence, and wikis. Conventional retrieval methods based on keyword search or static embeddings often fail to answer complex queries that require contextual reasoning and multi-hop inference across artifacts. We present a modular hybrid retrieval framework for adaptive enterprise information access that integrates Knowledge Base Language-Augmented Models (KBLam), DeepGraph representations, and embedding-driven semantic search. The framework builds a unified knowledge graph from parsed repositories including code, pull requests, and commit histories, enabling semantic similarity search, structural inference, and multi-hop reasoning. Query analysis dynamically determines the optimal retrieval strategy, supporting both structured and unstructured data sources through independent or fused processing. An interactive interface provides graph visualizations, subgraph exploration, and context-aware query routing to generate concise and explainable answers. Experiments on large-scale Git repositories show that the unified reasoning layer improves answer relevance by up to 80 percent compared with standalone GPT-based retrieval pipelines. By combining graph construction, hybrid reasoning, and interactive visualization, the proposed framework offers a scalable, explainable, and user-centric foundation for intelligent knowledge assistants in enterprise environments.","Nilima Rao; Jagriti Srivastava; Pradeep Kumar Sharma; Hritvik Shrivastava","2025","arXiv","https://arxiv.org/abs/2510.10942","http://arxiv.org/pdf/2510.10942v1","arxiv:id","http://arxiv.org/abs/2510.10942v1","arXiv","OL","","http://arxiv.org/abs/2510.10942v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Meronymic Ontology Extraction via Large Language Models","Ontologies have become essential in today's digital age as a way of organising the vast amount of readily available unstructured text. In providing formal structure to this information, ontologies have immense value and application across various domains, e.g., e-commerce, where countless product listings necessitate proper product organisation. However, the manual construction of these ontologies is a time-consuming, expensive and laborious process. In this paper, we harness the recent advancements in large language models (LLMs) to develop a fully-automated method of extracting product ontologies, in the form of meronymies, from raw review texts. We demonstrate that the ontologies produced by our method surpass an existing, BERT-based baseline when evaluating using an LLM-as-a-judge. Our investigation provides the groundwork for LLMs to be used more generally in (product or otherwise) ontology extraction.","Dekai Zhang; Simone Conia; Antonio Rago","2025","arXiv","https://arxiv.org/abs/2510.13839","http://arxiv.org/pdf/2510.13839v1","arxiv:id","http://arxiv.org/abs/2510.13839v1","arXiv","OL","","http://arxiv.org/abs/2510.13839v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Multi-Scale Diffusion Transformer for Jointly Simulating User Mobility and Mobile Traffic Pattern","User mobility trajectory and mobile traffic data are essential for a wide spectrum of applications including urban planning, network optimization, and emergency management. However, large-scale and fine-grained mobility data remains difficult to obtain due to privacy concerns and collection costs, making it essential to simulate realistic mobility and traffic patterns. User trajectories and mobile traffic are fundamentally coupled, reflecting both physical mobility and cyber behavior in urban environments. Despite this strong interdependence, existing studies often model them separately, limiting the ability to capture cross-modal dynamics. Therefore, a unified framework is crucial. In this paper, we propose MSTDiff, a Multi-Scale Diffusion Transformer for joint simulation of mobile traffic and user trajectories. First, MSTDiff applies discrete wavelet transforms for multi-resolution traffic decomposition. Second, it uses a hybrid denoising network to process continuous traffic volumes and discrete location sequences. A transition mechanism based on urban knowledge graph embedding similarity is designed to guide semantically informed trajectory generation. Finally, a multi-scale Transformer with cross-attention captures dependencies between trajectories and traffic. Experiments show that MSTDiff surpasses state-of-the-art baselines in traffic and trajectory generation tasks, reducing Jensen-Shannon divergence (JSD) across key statistical metrics by up to 17.38% for traffic generation, and by an average of 39.53% for trajectory generation. The source code is available at: https://github.com/tsinghua-fib-lab/MSTDiff .","Ziyi Liu; Qingyue Long; Zhiwen Xue; Huandong Wang; Yong Li","2025","arXiv","https://arxiv.org/abs/2510.10158","http://arxiv.org/pdf/2510.10158v1","arxiv:id","http://arxiv.org/abs/2510.10158v1","arXiv","OL","","http://arxiv.org/abs/2510.10158v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Follow My Lead: Logical Fallacy Classification with Knowledge-Augmented LLMs","Large Language Models (LLMs) suffer from critical reasoning gaps, including a tendency to hallucinate and poor accuracy in classifying logical fallacies. This limitation stems from their default System 1 processing, which is fast and intuitive, whereas reliable reasoning requires the deliberate, effortful System 2 approach (Kahneman, 2011; Li et al., 2025). Since full System 2 training is often prohibitively expensive, we explore a low-cost, instruction-based intervention to bridge this gap. Our methodology introduces a novel stepwise instruction dataset that decomposes fallacy classification into a series of atomic procedural steps (simple binary questions). We further augment this with a final verification step where models consult a relational knowledge graph of related fallacies. This procedural, rule-based intervention yields a significant improvement in LLM logical fallacy classification. Crucially, the approach also provides enhanced transparency into the LLMs' decision-making, highlighting a practical pathway for Neuro-symbolic architectures to address LLM reasoning deficits.","Olivia Peiyu Wang; Tashvi Bansal; Ryan Bai; Emily M. Chui; Leilani H. Gilpin","2025","arXiv","https://arxiv.org/abs/2510.09970","http://arxiv.org/pdf/2510.09970v1","arxiv:id","http://arxiv.org/abs/2510.09970v1","arXiv","OL","","http://arxiv.org/abs/2510.09970v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"VisPile: A Visual Analytics System for Analyzing Multiple Text Documents With Large Language Models and Knowledge Graphs","Intelligence analysts perform sensemaking over collections of documents using various visual and analytic techniques to gain insights from large amounts of text. As data scales grow, our work explores how to leverage two AI technologies, large language models (LLMs) and knowledge graphs (KGs), in a visual text analysis tool, enhancing sensemaking and helping analysts keep pace. Collaborating with intelligence community experts, we developed a visual analytics system called VisPile. VisPile integrates an LLM and a KG into various UI functions that assist analysts in grouping documents into piles, performing sensemaking tasks like summarization and relationship mapping on piles, and validating LLM- and KG-generated evidence. Our paper describes the tool, as well as feedback received from six professional intelligence analysts that used VisPile to analyze a text document corpus.","Adam Coscia; Alex Endert","2025","arXiv","https://arxiv.org/abs/2510.09605","http://arxiv.org/pdf/2510.09605v1","arxiv:id","http://arxiv.org/abs/2510.09605v1","arXiv","OL","","http://arxiv.org/abs/2510.09605v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"GraphMERT: Efficient and Scalable Distillation of Reliable Knowledge Graphs from Unstructured Data","Researchers have pursued neurosymbolic artificial intelligence (AI) applications for nearly three decades because symbolic components provide abstraction while neural components provide generalization. Thus, a marriage of the two components can lead to rapid advancements in AI. Yet, the field has not realized this promise since most neurosymbolic AI frameworks fail to scale. In addition, the implicit representations and approximate reasoning of neural approaches limit interpretability and trust. Knowledge graphs (KGs), a gold-standard representation of explicit semantic knowledge, can address the symbolic side. However, automatically deriving reliable KGs from text corpora has remained an open problem. We address these challenges by introducing GraphMERT, a tiny graphical encoder-only model that distills high-quality KGs from unstructured text corpora and its own internal representations. GraphMERT and its equivalent KG form a modular neurosymbolic stack: neural learning of abstractions; symbolic KGs for verifiable reasoning. GraphMERT + KG is the first efficient and scalable neurosymbolic model to achieve state-of-the-art benchmark accuracy along with superior symbolic representations relative to baselines. Concretely, we target reliable domain-specific KGs that are both (1) factual (with provenance) and (2) valid (ontology-consistent relations with domain-appropriate semantics). When a large language model (LLM), e.g., Qwen3-32B, generates domain-specific KGs, it falls short on reliability due to prompt sensitivity, shallow domain expertise, and hallucinated relations. On text obtained from PubMed papers on diabetes, our 80M-parameter GraphMERT yields a KG with a 69.8% FActScore; a 32B-parameter baseline LLM yields a KG that achieves only 40.2% FActScore. The GraphMERT KG also attains a higher ValidityScore of 68.8%, versus 43.0% for the LLM baseline.","Margarita Belova; Jiaxin Xiao; Shikhar Tuli; Niraj K. Jha","2025","arXiv","https://arxiv.org/abs/2510.09580","http://arxiv.org/pdf/2510.09580v1","arxiv:id","http://arxiv.org/abs/2510.09580v1","arXiv","OL","","http://arxiv.org/abs/2510.09580v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Hierarchical Indexing with Knowledge Enrichment for Multilingual Video Corpus Retrieval","Retrieving relevant instructional videos from multilingual medical archives is crucial for answering complex, multi-hop questions across language boundaries. However, existing systems either compress hour-long videos into coarse embeddings or incur prohibitive costs for fine-grained matching. We tackle the Multilingual Video Corpus Retrieval (mVCR) task in the NLPCC-2025 M4IVQA challenge with a multi-stage framework that integrates multilingual semantics, domain terminology, and efficient long-form processing. Video subtitles are divided into semantically coherent chunks, enriched with concise knowledge-graph (KG) facts, and organized into a hierarchical tree whose node embeddings are generated by a language-agnostic multilingual encoder. At query time, the same encoder embeds the input question; a coarse-to-fine tree search prunes irrelevant branches, and only the top-ranked chunks are re-scored by a lightweight large language model (LLM). This design avoids exhaustive cross-encoder scoring while preserving chunk-level precision. Experiments on the mVCR test set demonstrate state-of-the-art performance, and ablation studies confirm the complementary contributions of KG enrichment, hierarchical indexing, and targeted LLM re-ranking. The proposed method offers an accurate and scalable solution for multilingual retrieval in specialized medical video collections.","Yu Wang; Tianhao Tan; Yifei Wang","2025","arXiv","https://arxiv.org/abs/2510.09553","http://arxiv.org/pdf/2510.09553v1","arxiv:id","http://arxiv.org/abs/2510.09553v1","arXiv","OL","","http://arxiv.org/abs/2510.09553v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"ReaLM: Residual Quantization Bridging Knowledge Graph Embeddings and Large Language Models","Large Language Models (LLMs) have recently emerged as a powerful paradigm for Knowledge Graph Completion (KGC), offering strong reasoning and generalization capabilities beyond traditional embedding-based approaches. However, existing LLM-based methods often struggle to fully exploit structured semantic representations, as the continuous embedding space of pretrained KG models is fundamentally misaligned with the discrete token space of LLMs. This discrepancy hinders effective semantic transfer and limits their performance. To address this challenge, we propose ReaLM, a novel and effective framework that bridges the gap between KG embeddings and LLM tokenization through the mechanism of residual vector quantization. ReaLM discretizes pretrained KG embeddings into compact code sequences and integrates them as learnable tokens within the LLM vocabulary, enabling seamless fusion of symbolic and contextual knowledge. Furthermore, we incorporate ontology-guided class constraints to enforce semantic consistency, refining entity predictions based on class-level compatibility. Extensive experiments on two widely used benchmark datasets demonstrate that ReaLM achieves state-of-the-art performance, confirming its effectiveness in aligning structured knowledge with large-scale language models.","Wenbin Guo; Xin Wang; Jiaoyan Chen; Lingbing Guo; Zhao Li; Zirui Chen","2025","arXiv","https://arxiv.org/abs/2510.09711","http://arxiv.org/pdf/2510.09711v1","arxiv:id","http://arxiv.org/abs/2510.09711v1","arXiv","OL","","http://arxiv.org/abs/2510.09711v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Semantic-Condition Tuning: Fusing Graph Context with Large Language Models for Knowledge Graph Completion","Fusing Knowledge Graphs with Large Language Models is crucial for knowledge-intensive tasks like knowledge graph completion. The prevailing paradigm, prefix-tuning, simply concatenates knowledge embeddings with text inputs. However, this shallow fusion overlooks the rich relational semantics within KGs and imposes a significant implicit reasoning burden on the LLM to correlate the prefix with the text. To address these, we propose Semantic-condition Tuning (SCT), a new knowledge injection paradigm comprising two key modules. First, a Semantic Graph Module employs a Graph Neural Network to extract a context-aware semantic condition from the local graph neighborhood, guided by knowledge-enhanced relations. Subsequently, this condition is passed to a Condition-Adaptive Fusion Module, which, in turn, adaptively modulates the textual embedding via two parameterized projectors, enabling a deep, feature-wise, and knowledge-aware interaction. The resulting pre-fused embedding is then fed into the LLM for fine-tuning. Extensive experiments on knowledge graph benchmarks demonstrate that SCT significantly outperforms prefix-tuning and other strong baselines. Our analysis confirms that by modulating the input representation with semantic graph context before LLM inference, SCT provides a more direct and potent signal, enabling more accurate and robust knowledge reasoning.","Ruitong Liu; Yan Wen; Te Sun; Yunjia Wu; Pingyang Huang; Zihang Yu; Siyuan Li","2025","arXiv","https://arxiv.org/abs/2510.08966","http://arxiv.org/pdf/2510.08966v1","arxiv:id","http://arxiv.org/abs/2510.08966v1","arXiv","OL","","http://arxiv.org/abs/2510.08966v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Vector Graph-Based Repository Understanding for Issue-Driven File Retrieval","We present a repository decomposition system that converts large software repositories into a vectorized knowledge graph which mirrors project architectural and semantic structure, capturing semantic relationships and allowing a significant level of automatization of further repository development. The graph encodes syntactic relations such as containment, implementation, references, calls, and inheritance, and augments nodes with LLM-derived summaries and vector embeddings. A hybrid retrieval pipeline combines semantic retrieval with graph-aware expansion, and an LLM-based assistant formulates constrained, read-only graph requests and produces human-oriented explanations.","Kostiantyn Bevziuk; Andrii Fatula; Svetozar Lashin Yaroslav Opanasenko; Anna Tukhtarova; Ashok Jallepalli Pradeepkumar Sharma; Hritvik Shrivastava","2025","arXiv","https://arxiv.org/abs/2510.08876","http://arxiv.org/pdf/2510.08876v1","arxiv:id","http://arxiv.org/abs/2510.08876v1","arXiv","OL","","http://arxiv.org/abs/2510.08876v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Search-on-Graph: Iterative Informed Navigation for Large Language Model Reasoning on Knowledge Graphs","Large language models (LLMs) have demonstrated impressive reasoning abilities yet remain unreliable on knowledge-intensive, multi-hop questions -- they miss long-tail facts, hallucinate when uncertain, and their internal knowledge lags behind real-world change. Knowledge graphs (KGs) offer a structured source of relational evidence, but existing KGQA methods face fundamental trade-offs: compiling complete SPARQL queries without knowing available relations proves brittle, retrieving large subgraphs introduces noise, and complex agent frameworks with parallel exploration exponentially expand search spaces. To address these limitations, we propose Search-on-Graph (SoG), a simple yet effective framework that enables LLMs to perform iterative informed graph navigation using a single, carefully designed \\textsc{Search} function. Rather than pre-planning paths or retrieving large subgraphs, SoG follows an ``observe-then-navigate'' principle: at each step, the LLM examines actual available relations from the current entity before deciding on the next hop. This approach further adapts seamlessly to different KG schemas and handles high-degree nodes through adaptive filtering. Across six KGQA benchmarks spanning Freebase and Wikidata, SoG achieves state-of-the-art performance without fine-tuning. We demonstrate particularly strong gains on Wikidata benchmarks (+16\\% improvement over previous best methods) alongside consistent improvements on Freebase benchmarks.","Jia Ao Sun; Hao Yu; Fabrizio Gotti; Fengran Mo; Yihong Wu; Yuchen Hui; Jian-Yun Nie","2025","arXiv","https://arxiv.org/abs/2510.08825","http://arxiv.org/pdf/2510.08825v1","arxiv:id","http://arxiv.org/abs/2510.08825v1","arXiv","OL","","http://arxiv.org/abs/2510.08825v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Do We Really Need SFT? Prompt-as-Policy over Knowledge Graphs for Cold-start Next POI Recommendation","Next point-of-interest (POI) recommendation is crucial for smart urban services such as tourism, dining, and transportation, yet most approaches struggle under cold-start conditions where user-POI interactions are sparse. Recent efforts leveraging large language models (LLMs) address this challenge through either supervised fine-tuning (SFT) or in-context learning (ICL). However, SFT demands costly annotations and fails to generalize to inactive users, while static prompts in ICL cannot adapt to diverse user contexts. To overcome these limitations, we propose Prompt-as-Policy over knowledge graphs, a reinforcement-guided prompting framework that learns to construct prompts dynamically through contextual bandit optimization. Our method treats prompt construction as a learnable policy that adaptively determines (i) which relational evidences to include, (ii) the number of evidence per candidate, and (iii) their organization and ordering within prompts. More specifically, we construct a knowledge graph (KG) to discover candidates and mine relational paths, which are transformed into evidence cards that summarize rationales for each candidate POI. The frozen LLM then acts as a reasoning engine, generating recommendations from the KG-discovered candidate set based on the policy-optimized prompts. Experiments on three real-world datasets demonstrate that Prompt-as-Policy consistently outperforms state-of-the-art baselines, achieving average 7.7\\% relative improvements in Acc@1 for inactive users, while maintaining competitive performance on active users, without requiring model fine-tuning.","Jinze Wang; Lu Zhang; Yiyang Cui; Zhishu Shen; Xingjun Ma; Jiong Jin; Tiehua Zhang","2025","arXiv","https://arxiv.org/abs/2510.08012","http://arxiv.org/pdf/2510.08012v1","arxiv:id","http://arxiv.org/abs/2510.08012v1","arXiv","OL","","http://arxiv.org/abs/2510.08012v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"LLM-Assisted Modeling of Semantic Web-Enabled Multi-Agents Systems with AJAN","There are many established semantic Web standards for implementing multi-agent driven applications. The AJAN framework allows to engineer multi-agent systems based on these standards. In particular, agent knowledge is represented in RDF/RDFS and OWL, while agent behavior models are defined with Behavior Trees and SPARQL to access and manipulate this knowledge. However, the appropriate definition of RDF/RDFS and SPARQL-based agent behaviors still remains a major hurdle not only for agent modelers in practice. For example, dealing with URIs is very error-prone regarding typos and dealing with complex SPARQL queries in large-scale environments requires a high learning curve. In this paper, we present an integrated development environment to overcome such hurdles of modeling AJAN agents and at the same time to extend the user community for AJAN by the possibility to leverage Large Language Models for agent engineering.","Hacane Hechehouche; Andre Antakli; Matthias Klusch","2025","arXiv","https://arxiv.org/abs/2510.06911","http://arxiv.org/pdf/2510.06911v1","arxiv:id","http://arxiv.org/abs/2510.06911v1","arXiv","OL","","http://arxiv.org/abs/2510.06911v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"Crossing Domains without Labels: Distant Supervision for Term Extraction","Automatic Term Extraction (ATE) is a critical component in downstream NLP tasks such as document tagging, ontology construction and patent analysis. Current state-of-the-art methods require expensive human annotation and struggle with domain transfer, limiting their practical deployment. This highlights the need for more robust, scalable solutions and realistic evaluation settings. To address this, we introduce a comprehensive benchmark spanning seven diverse domains, enabling performance evaluation at both the document- and corpus-levels. Furthermore, we propose a robust LLM-based model that outperforms both supervised cross-domain encoder models and few-shot learning baselines and performs competitively with its GPT-4o teacher on this benchmark. The first step of our approach is generating psuedo-labels with this black-box LLM on general and scientific domains to ensure generalizability. Building on this data, we fine-tune the first LLMs for ATE. To further enhance document-level consistency, oftentimes needed for downstream tasks, we introduce lightweight post-hoc heuristics. Our approach exceeds previous approaches on 5/7 domains with an average improvement of 10 percentage points. We release our dataset and fine-tuned models to support future research in this area.","Elena Senger; Yuri Campbell; Rob van der Goot; Barbara Plank","2025","arXiv","https://arxiv.org/abs/2510.06838","http://arxiv.org/pdf/2510.06838v1","arxiv:id","http://arxiv.org/abs/2510.06838v1","arXiv","OL","","http://arxiv.org/abs/2510.06838v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"MultiCNKG: Integrating Cognitive Neuroscience, Gene, and Disease Knowledge Graphs Using Large Language Models","The advent of large language models (LLMs) has revolutionized the integration of knowledge graphs (KGs) in biomedical and cognitive sciences, overcoming limitations in traditional machine learning methods for capturing intricate semantic links among genes, diseases, and cognitive processes. We introduce MultiCNKG, an innovative framework that merges three key knowledge sources: the Cognitive Neuroscience Knowledge Graph (CNKG) with 2.9K nodes and 4.3K edges across 9 node types and 20 edge types; Gene Ontology (GO) featuring 43K nodes and 75K edges in 3 node types and 4 edge types; and Disease Ontology (DO) comprising 11.2K nodes and 8.8K edges with 1 node type and 2 edge types. Leveraging LLMs like GPT-4, we conduct entity alignment, semantic similarity computation, and graph augmentation to create a cohesive KG that interconnects genetic mechanisms, neurological disorders, and cognitive functions. The resulting MultiCNKG encompasses 6.9K nodes across 5 types (e.g., Genes, Diseases, Cognitive Processes) and 11.3K edges spanning 7 types (e.g., Causes, Associated with, Regulates), facilitating a multi-layered view from molecular to behavioral domains. Assessments using metrics such as precision (85.20%), recall (87.30%), coverage (92.18%), graph consistency (82.50%), novelty detection (40.28%), and expert validation (89.50%) affirm its robustness and coherence. Link prediction evaluations with models like TransE (MR: 391, MRR: 0.411) and RotatE (MR: 263, MRR: 0.395) show competitive performance against benchmarks like FB15k-237 and WN18RR. This KG advances applications in personalized medicine, cognitive disorder diagnostics, and hypothesis formulation in cognitive neuroscience.","Ali Sarabadani; Kheirolah Rahsepar Fard","2025","arXiv","https://arxiv.org/abs/2510.06742","http://arxiv.org/pdf/2510.06742v1","arxiv:id","http://arxiv.org/abs/2510.06742v1","arXiv","OL","","http://arxiv.org/abs/2510.06742v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"FinReflectKG - EvalBench: Benchmarking Financial KG with Multi-Dimensional Evaluation","Large language models (LLMs) are increasingly being used to extract structured knowledge from unstructured financial text. Although prior studies have explored various extraction methods, there is no universal benchmark or unified evaluation framework for the construction of financial knowledge graphs (KG). We introduce FinReflectKG - EvalBench, a benchmark and evaluation framework for KG extraction from SEC 10-K filings. Building on the agentic and holistic evaluation principles of FinReflectKG - a financial KG linking audited triples to source chunks from S&P 100 filings and supporting single-pass, multi-pass, and reflection-agent-based extraction modes - EvalBench implements a deterministic commit-then-justify judging protocol with explicit bias controls, mitigating position effects, leniency, verbosity and world-knowledge reliance. Each candidate triple is evaluated with binary judgments of faithfulness, precision, and relevance, while comprehensiveness is assessed on a three-level ordinal scale (good, partial, bad) at the chunk level. Our findings suggest that, when equipped with explicit bias controls, LLM-as-Judge protocols provide a reliable and cost-efficient alternative to human annotation, while also enabling structured error analysis. Reflection-based extraction emerges as the superior approach, achieving best performance in comprehensiveness, precision, and relevance, while single-pass extraction maintains the highest faithfulness. By aggregating these complementary dimensions, FinReflectKG - EvalBench enables fine-grained benchmarking and bias-aware evaluation, advancing transparency and governance in financial AI applications.","Fabrizio Dimino; Abhinav Arun; Bhaskarjit Sarmah; Stefano Pasquali","2025","arXiv","https://arxiv.org/abs/2510.05710","http://arxiv.org/pdf/2510.05710v1","arxiv:id","http://arxiv.org/abs/2510.05710v1","arXiv","OL","","http://arxiv.org/abs/2510.05710v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"KEO: Knowledge Extraction on OMIn via Knowledge Graphs and RAG for Safety-Critical Aviation Maintenance","We present Knowledge Extraction on OMIn (KEO), a domain-specific knowledge extraction and reasoning framework with large language models (LLMs) in safety-critical contexts. Using the Operations and Maintenance Intelligence (OMIn) dataset, we construct a QA benchmark spanning global sensemaking and actionable maintenance tasks. KEO builds a structured Knowledge Graph (KG) and integrates it into a retrieval-augmented generation (RAG) pipeline, enabling more coherent, dataset-wide reasoning than traditional text-chunk RAG. We evaluate locally deployable LLMs (Gemma-3, Phi-4, Mistral-Nemo) and employ stronger models (GPT-4o, Llama-3.3) as judges. Experiments show that KEO markedly improves global sensemaking by revealing patterns and system-level insights, while text-chunk RAG remains effective for fine-grained procedural tasks requiring localized retrieval. These findings underscore the promise of KG-augmented LLMs for secure, domain-specific QA and their potential in high-stakes reasoning.","Kuangshi Ai; Jonathan A. Karr Jr; Meng Jiang; Nitesh V. Chawla; Chaoli Wang","2025","arXiv","https://arxiv.org/abs/2510.05524","http://arxiv.org/pdf/2510.05524v1","arxiv:id","http://arxiv.org/abs/2510.05524v1","arXiv","OL","","http://arxiv.org/abs/2510.05524v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
"AgentRouter: A Knowledge-Graph-Guided LLM Router for Collaborative Multi-Agent Question Answering","Large language models (LLMs) and agent-based frameworks have advanced rapidly, enabling diverse applications. Yet, with the proliferation of models and agentic strategies, practitioners face substantial uncertainty in selecting the best configuration for a downstream task. Prior studies show that different agents and backbones exhibit complementary strengths, and that larger models are not always superior, underscoring the need for adaptive routing mechanisms. Existing approaches to agent routing, however, often emphasize cost efficiency while overlooking the fine-grained contextual and relational structure inherent in QA tasks. In this paper, we propose tAgentRouter, a framework that formulates multi-agent QA as a knowledge-graph-guided routing problem supervised by empirical performance signals. Specifically, we convert QA instance into a knowledge graph that jointly encodes queries, contextual entities, and agents, and then train a heterogeneous graph neural network (GNN) to propagate information across node types and produce task-aware routing distributions over agents. By leveraging soft supervision and weighted aggregation of agent outputs, AgentRouter learns principled collaboration schemes that capture the complementary strengths of diverse agents. Extensive experiments demonstrate that our framework consistently outperforms single-agent and ensemble baselines, while generalizing across benchmarks and LLM backbones. These results highlight the effectiveness and robustness of graph-supervised multi-agent routing for question answering.","Zheyuan Zhang; Kaiwen Shi; Zhengqing Yuan; Zehong Wang; Tianyi Ma; Keerthiram Murugesan; Vincent Galassi; Chuxu Zhang; Yanfang Ye","2025","arXiv","https://arxiv.org/abs/2510.05445","http://arxiv.org/pdf/2510.05445v1","arxiv:id","http://arxiv.org/abs/2510.05445v1","arXiv","OL","","http://arxiv.org/abs/2510.05445v1","true","true","include","LLM+OL terms in t/abs","screening/arxiv/OL/20251021_arxiv_OL_llm_screen.csv"
